requestedUrl,finalUrl,category,name,title,type,score
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","timing-budget","Timing budget","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","network-requests","Network Requests","informative","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","network-rtt","Network Round Trip Times","informative","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","main-thread-tasks","Tasks","informative","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","diagnostics","Diagnostics","informative","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","metrics","Metrics","informative","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","final-screenshot","Final Screenshot","informative","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","script-treemap-data","Script Treemap Data","informative","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","accessibility-score","Overall Accessibility Category Score","numeric","0.73"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","accesskeys","`[accesskey]` values are unique","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-allowed-attr","`[aria-*]` attributes match their roles","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-command-name","`button`, `link`, and `menuitem` elements have accessible names","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-hidden-body","`[aria-hidden=""true""]` is not present on the document `<body>`","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-hidden-focus","`[aria-hidden=""true""]` elements do not contain focusable descendents","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-input-field-name","ARIA input fields do not have accessible names","binary","0"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-meter-name","ARIA `meter` elements have accessible names","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-progressbar-name","ARIA `progressbar` elements have accessible names","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-required-attr","`[role]`s have all required `[aria-*]` attributes","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-required-children","Elements with an ARIA `[role]` that require children to contain a specific `[role]` have all required children.","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-required-parent","`[role]`s are contained by their required parent element","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-roles","`[role]` values are valid","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-toggle-field-name","ARIA toggle fields do not have accessible names","binary","0"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-tooltip-name","ARIA `tooltip` elements have accessible names","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-treeitem-name","ARIA `treeitem` elements have accessible names","notApplicable","-1"
